Front,Back,Tags
"Why is the Retirement Stage often neglected in planning?","It is distant and speculative at project start; consequences include unplanned disposal costs, hazardous material issues, and loss of system knowledge.","CSEP Week02 LifeCycleConcepts"
"Which life cycle stage has the most acquirer influence over system design?","The Concept Stage — stakeholder needs and constraints are defined before design commitments are made.","CSEP Week02 LifeCycleConcepts"
"""Testing"" occurs in which life cycle stages, and for what purpose in each?","Development Stage: verification of the design; Production Stage: conformance testing against the approved configuration.","CSEP Week02 LifeCycleConcepts"
"What does ""conditional proceed"" mean at a decision gate?","The programme is authorised to proceed to the next stage, but with defined open items that must be resolved within an agreed timeframe.","CSEP Week02 DecisionGates"
"Name two artefacts typically produced during the Concept Stage.","Concept of Operations (ConOps) and Stakeholder Needs Statement (or Mission Concept document).","CSEP Week02 LifeCycleConcepts"
"What is a Stage Transition Review?","A formal review conducted at a decision gate to assess whether exit criteria for the current stage have been met and to authorise stage transition. (ISO 15288 §6.2)","CSEP Week02 DecisionGates"
"What types of maintenance are performed in the Support Stage?","Corrective maintenance (fixing failures), preventive maintenance (scheduled servicing), and adaptive maintenance (modifications for changed operational needs).","CSEP Week02 LifeCycleConcepts"
"Define: Life Cycle Model","A framework that identifies and describes the stages, decision gates, and overall approach used to manage a system's life cycle. (SEH5 Ch2)","CSEP Week02 LifeCycleModels"
"Define: Sequential Life Cycle Model","A model in which life cycle stages are executed in order, with each stage substantially completed before the next begins. Appropriate when requirements are stable and technology mature.","CSEP Week02 LifeCycleModels"
"Define: Iterative Life Cycle Model","A model in which the system is progressively refined through multiple successive cycles, each producing a more complete or capable version. Appropriate when requirements evolve.","CSEP Week02 LifeCycleModels"
"Define: Concurrent Life Cycle Model","A model in which multiple life cycle stages overlap and are conducted simultaneously to reduce schedule. Carries higher risk and requires strong configuration control.","CSEP Week02 LifeCycleModels"
"Define: Evolutionary (Incremental) Life Cycle Model","A model in which the system is delivered in discrete capability increments, with each increment delivering usable capability. Common in large-scale defence and space programmes.","CSEP Week02 LifeCycleModels"
"What is Agile SE, and how does it differ from Agile software development?","Agile SE embeds iterative sprints within an overarching SE framework that manages the full system life cycle, interfaces, and system-level V&V. Agile software development focuses on software delivery only, without necessarily managing the full system.","CSEP Week02 LifeCycleModels"
"Define: Life Cycle Model Tailoring","The adaptation of a standard life cycle model to fit the unique characteristics, risks, and constraints of a given programme. Expected and encouraged by ISO 15288.","CSEP Week02 LifeCycleModels"
"When is a sequential model most appropriate?","When requirements are well-understood and stable, technology is mature, and/or regulatory frameworks demand strict stage separation (e.g., nuclear, medical devices).","CSEP Week02 LifeCycleModels"
"When is an iterative model most appropriate?","When requirements are expected to evolve, stakeholder feedback is essential, or risk must be managed by building and testing early.","CSEP Week02 LifeCycleModels"
"What is the principal risk of a concurrent life cycle model?","Starting downstream stages before upstream stages are mature can create expensive rework when upstream changes cascade into completed downstream work.","CSEP Week02 LifeCycleModels"
"Define: Life Cycle Process","A set of interrelated activities that transform inputs into outputs, performed in any applicable life cycle stage. (ISO 15288 §6.1)","CSEP Week02 ProcessesVsStages"
"What is the key distinction between a life cycle stage and a life cycle process?","A stage answers ""When?"" — it is a period in the system's evolution. A process answers ""What?"" — it is a set of activities that can be invoked in any applicable stage.","CSEP Week02 ProcessesVsStages"
"Name the four ISO/IEC/IEEE 15288 process groups.","(1) Technical Processes, (2) Technical Management Processes, (3) Agreement Processes, (4) Organisational Project-Enabling Processes.","CSEP Week02 ProcessesVsStages"
"How many processes does ISO/IEC/IEEE 15288:2023 define in total?","30 processes across the four process groups.","CSEP Week02 ProcessesVsStages"
"How many Technical Processes does ISO 15288 define?","14 Technical Processes (from Business/Mission Analysis through to Disposal).","CSEP Week02 ProcessesVsStages"
"In which process group is Configuration Management found?","Technical Management Processes (ISO 15288 §6.3).","CSEP Week02 ProcessesVsStages"
"Can the Verification process be applied in the Production Stage?","Yes — Production testing verifies that manufactured instances conform to the approved system configuration. ISO 15288 processes are not stage-specific; they are applied wherever relevant.","CSEP Week02 ProcessesVsStages"
"What is the CSEP exam trap involving the ""Development Stage"" vs a ""Development Process""?","Candidates confuse the Development Stage (a life cycle period) with a development process. ISO 15288 has no single process called ""Development"" — that work is performed by the 14 Technical Processes, which are also applied in other stages.","CSEP Week02 ProcessesVsStages"
"Define: Cost of Change (Cost-of-Correction Curve)","The principle that the cost of correcting an error or implementing a change increases exponentially as the system progresses through its life cycle. (SEH5 Ch2, citing Boehm)","CSEP Week02 CostOfChange"
"Who is the researcher most associated with the cost-of-change curve?","Barry Boehm — from his 1981 research on software development cost multipliers for late defect correction.","CSEP Week02 CostOfChange"
"Define: Life Cycle Cost (LCC)","The total cost of a system across all life cycle stages — concept, development, production, utilisation, support, and retirement — including acquisition, operation, maintenance, and disposal costs.","CSEP Week02 CostOfChange"
"Why is acquisition cost a misleading metric for comparing system options?","Acquisition cost typically represents only 20–30% of total LCC; the remaining 70–80% is incurred in operations and support.","CSEP Week02 CostOfChange"
"Define: SE Value Proposition","The argument that early SE investment — particularly in requirements, architecture, and V&V planning — reduces total life cycle cost by preventing costly late-stage changes.","CSEP Week02 CostOfChange"
"At which life cycle stage is the cost of change lowest?","The Concept Stage — errors corrected here cost a fraction of what the same correction costs in later stages.","CSEP Week02 CostOfChange"
"Name three SE activities that deliver the highest ROI by preventing late-stage change.","(1) Rigorous requirements elicitation and validation; (2) early architecture definition; (3) formal V&V planning established in the Concept/early Development stage.","CSEP Week02 CostOfChange"
"Define: Total Ownership Cost (TOC)","The complete cost borne by the owner/operator across the entire system ownership period, including acquisition, operations, support, and disposal. Used particularly in defence acquisition.","CSEP Week02 CostOfChange"
"What is the SE argument against starting Production before requirements and design are mature?","Starting Production early amplifies total cost because rework in Production is 10–100x more expensive than correcting errors in the Concept or early Development stage.","CSEP Week02 CostOfChange"
