Question,Answer,Topic,Difficulty
"Define: Iterative Life Cycle Model","A model in which the system is progressively refined through multiple successive cycles, each producing a more complete or capable version. Appropriate when requirements evolve.","Life Cycle Models","Easy"
"Define: Concurrent Life Cycle Model","A model in which multiple life cycle stages overlap and are conducted simultaneously to reduce schedule. Carries higher risk and requires strong configuration control.","Life Cycle Models","Easy"
"Define: Evolutionary (Incremental) Life Cycle Model","A model in which the system is delivered in discrete capability increments, with each increment delivering usable capability.","Life Cycle Models","Easy"
"What is Agile SE and how does it differ from Agile software development?","Agile SE embeds iterative sprints within an overarching SE framework managing the full system life cycle, interfaces, and system-level V&V. Agile software development focuses on software delivery only.","Life Cycle Models","Hard"
"Define: Life Cycle Model Tailoring","The adaptation of a standard life cycle model to fit the unique characteristics, risks, and constraints of a given programme. Expected and encouraged by ISO 15288.","Life Cycle Models","Medium"
"When is a sequential model most appropriate?","When requirements are stable, technology is mature, and/or regulatory frameworks demand strict stage separation.","Life Cycle Models","Medium"
"When is an iterative model most appropriate?","When requirements are expected to evolve, stakeholder feedback is essential, or risk must be managed by building and testing early.","Life Cycle Models","Medium"
"What is the principal risk of a concurrent life cycle model?","Starting downstream stages before upstream stages are mature can create expensive rework when upstream changes cascade into completed downstream work.","Life Cycle Models","Hard"
"Define: Life Cycle Process","A set of interrelated activities that transform inputs into outputs, performed in any applicable life cycle stage. (ISO 15288 §6.1)","Processes vs Stages","Easy"
"What is the key distinction between a life cycle stage and a life cycle process?","A stage answers When — it is a period in the system's evolution. A process answers What — it is a set of activities that can be invoked in any applicable stage.","Processes vs Stages","Hard"
"Name the four ISO/IEC/IEEE 15288 process groups.","(1) Technical Processes, (2) Technical Management Processes, (3) Agreement Processes, (4) Organisational Project-Enabling Processes.","Processes vs Stages","Easy"
"How many processes does ISO/IEC/IEEE 15288:2023 define in total?","30 processes across the four process groups.","Processes vs Stages","Easy"
"How many Technical Processes does ISO 15288 define?","14 Technical Processes (from Business/Mission Analysis through to Disposal).","Processes vs Stages","Medium"
"In which process group is Configuration Management found?","Technical Management Processes (ISO 15288 §6.3).","Processes vs Stages","Medium"
"Can the Verification process be applied in the Production Stage?","Yes — Production testing verifies that manufactured instances conform to the approved system configuration. ISO 15288 processes are not stage-specific.","Processes vs Stages","Hard"
"What is the CSEP exam trap involving the Development Stage vs a Development Process?","Candidates confuse the Development Stage (a life cycle period) with a development process. ISO 15288 has no single process called Development — that work is performed by the 14 Technical Processes, also applied in other stages.","Processes vs Stages","Hard"
"Define: Cost of Change (Cost-of-Correction Curve)","The principle that the cost of correcting an error or implementing a change increases exponentially as the system progresses through its life cycle. (SEH5 Ch2, citing Boehm)","Cost of Change & LCC","Easy"
"Who is the researcher most associated with the cost-of-change curve?","Barry Boehm — from his 1981 research on software development cost multipliers for late defect correction.","Cost of Change & LCC","Easy"
"Define: Life Cycle Cost (LCC)","The total cost of a system across all life cycle stages — concept, development, production, utilisation, support, and retirement — including acquisition, operation, maintenance, and disposal costs.","Cost of Change & LCC","Easy"
"Why is acquisition cost a misleading metric for comparing system options?","Acquisition cost typically represents only 20–30% of total LCC; the remaining 70–80% is incurred in operations and support.","Cost of Change & LCC","Medium"
"Define: SE Value Proposition","The argument that early SE investment — particularly in requirements, architecture, and V&V planning — reduces total life cycle cost by preventing costly late-stage changes.","Cost of Change & LCC","Medium"
"At which life cycle stage is the cost of change lowest?","The Concept Stage — errors corrected here cost a fraction of what the same correction costs in later stages.","Cost of Change & LCC","Easy"
"Name three SE activities that deliver the highest ROI by preventing late-stage change.","(1) Rigorous requirements elicitation and validation; (2) early architecture definition; (3) formal V&V planning in the Concept/early Development stage.","Cost of Change & LCC","Medium"
"Define: Total Ownership Cost (TOC)","The complete cost borne by the owner/operator across the entire system ownership period, including acquisition, operations, support, and disposal.","Cost of Change & LCC","Easy"
"What is the SE argument against starting Production before requirements and design are mature?","Starting Production early amplifies total cost because rework in Production is 10–100x more expensive than correcting errors in the Concept or early Development stage.","Cost of Change & LCC","Hard"
