"In SE, a _____ system has elements where the relationship between states is reducible, predictable, and comprehensible.",complicated
"In SE, a _____ system has elements where the relationship between states is not fully comprehended, leading to insufficient certainty between cause and effect.",complex
Term: Epistemic Uncertainty,Definition: Uncertainty due to a lack of knowledge about the system or how it will perform.
Term: Aleatory Uncertainty,"Definition: Uncertainty due to inherent randomness in a technology, system, or process."
"According to Table 1.4, changes in political viewpoints, economic disruptions, or disruptive technologies are sources of _____ uncertainty.",Business
"According to Table 1.4, technology maturity and changes in missions are potential uncertainties for _____ costs.",Development and Production
Cognitive Bias: Framing,Definition: The way a question or decision is described influences the response.
Cognitive Bias: Representativeness,Definition: Drawing conclusions based on representative characteristics while ignoring relevant facts or base rates.
Cognitive Bias: Anchoring,Definition: Allowing an initial estimate to disproportionately affect final estimates.
Cognitive Bias: Availability,"Definition: Placing too much weight on information that is vivid, striking, or recent."
Cognitive Bias: Confirmation,Definition: Seeking or overweighting data that confirms existing beliefs.
Term: Group Think,Definition: A group of people making irrational decisions to suppress dissent and maintain group harmony.
Term: Rankism,Definition: The assumption that a person of higher rank is always correct in their decisions.
What aviation industry method makes all crew members responsible for warning the pilot of imminent danger to mitigate cognitive biases?,Crew Resource Management (CRM)
SE Principle 5 states that the _____ is the perfect representation of the system.,real system
"SE Principle 2 states that SE has a _____ system view that includes system elements, interactions, enabling systems, and the environment.",holistic
Term: Heuristic,Definition: A 'rule of thumb' or mental shortcut based on practical experience used to provide guidance on professional conduct or decision-making.
Which SE heuristic warns that strong relationships with stakeholders are needed because the initial problem statement may not be the right one?,"Don't assume that the original statement of the problem is necessarily the best, or even the right one."
Which SE heuristic emphasizes that system science postulates that the only complete model of the system in its environment is the system itself?,"Model before build, wherever possible."
"The DSRP model of systems thinking stands for Distinctions, Systems, Relationships, and _____.",Perspectives
Concept: Critical Systems Thinking (CST),"Definition: A multi-perspectival, multi-methodological, and multi-method approach used to address complex problem situations."
"In Systems Science, _____ modeling focuses on the behavior of whole systems in terms of the rules of interaction of the individual 'agents' that constitute the system.",agent-based
"The study of general systems focuses on principles such as progressive differentiation, mechanization, and _____, which means reaching the same final state from different initial conditions.",equifinality
"According to Jackson (2019), the SOSM framework for classifying systems methodologies stands for _____.",System of Systems Methodologies
